역명,외부↔대합실,대합실↔승강장,환승통로,이동식 안전발판,역무실 연락처
선릉,"E(2호선 1,5번)",E,2호선-E,×,02-568-7715
한티,"E(1,4번)",E,,×,02-569-9704
도곡,E(3번),E,3호선-E,×,02-576-2706
구룡,"E(1,4번)",E,,×,02-579-7760
개포동,"E(1,2사이,4번)",E,,×,02-3412-4418
대모산입구,"E(4,5번)",E,,×,02-3412-9471
수서,E(1번),L,3호선-L,×,02-2226-6881
복정,L(4번),E,8호선-E,×,02-449-8264
경원대,"L(1,2,3번)",E,,×,031-752-7788
태평,E(5번),E,,×,031-751-7788
모란,"*E(니즈몰 내) L(1,4,7번)",E,8호선-L,×,031-721-4600
야탑,"E(1,3번)",E,,×,031-703-3238
이매,"E(3,6번)",E,,×,031-781-6483
서현,"*E(AK플라자) L(1,3번)",E,,×,031-703-7788
수내,E(1번),E,,×,031-714-7788
정자,E(4번),E,,×,031-712-7788
미금,E(4번),E,,×,031-713-3235
오리,"E(2,3번사이)",E,,×,031-713-3234
죽전(단국대),"평지(지상역1,3번)",E,,×,031-896-9791
보정,R(지상역 1번),E,,×,031-265-7736
