역명,외부↔대합실,대합실↔승강장,환승통로,이동식 안전발판,역무실 연락처,
대화,"E(2,5번)? L(1,4번)",E,,×,031-917-7799,
주엽,*E(그랜드백화점),E,,×,031-916-7799,
정발산,*E(아람누리),E,,×,031-904-7799,
마두,없음,E,,×,031-904-7788,
백석,"E(3,4번사이)",E,,×,031-902-7788,
대곡,E(5번),E,경의선-E,×,031-965-8516,
화정,"E(1,2번/3,4번사이)",E,,×,031-974-4971,
원당,"E(5,6번)",E,,×,031-965-8747,
삼송,"L(4,5,8번)",E,,×,02-371-0087,
지축,R(지상역 1번),L,,×,02-6110 - 3191,
구파발,E(1번),E,,?,02-6110-3201,
연신내,"E(5,6번사이공원내)",E,6호선-E,?,02-6110-3211,
불광,E(1번),E,6호선-L,?,02-6110-3221,
녹번,E(2번),E,,?,02-6110-3231,
홍제,E(2번),E,,?,02-6110-3241,
무악재,E(1번),E,,?,02-6110-3251,
독립문,E(4번),E,,?,02-6110-3261,
경복궁,E(4번),E,,?,02-6110-3271,
안국,E(6번),E,,?,02-6110-3281,
종로3가,E(2-1번 피카디리) L(15번),L,1호선-L 5호선-L,×,02-6110 - 3291,
을지로3가,E(10번),E,2호선-E,×,02-6110 - 3301,
충무로,E(7번),L,4호선-L,×,02-6110 - 3313,
동대입구,E(6번),E,,?,02-6110-3321,
약수,E(3번),E,6호선-L,?,02-6110-3331,
금호,E(3번),E,,?,02-6110-3341,
옥수,E(4번),L,중앙선-L,?,02-3299-7328,
압구정,E(3번),E,,?,02-6110-3361,
신사,E(1번),E,,?,02-6110-3371,
잠원,E(1번),E,,×,02-6110 - 3381,
고속터미널,"E(9호선1,8-1번)",E,7호선-L 9호선-E,×,02-6110 - 3391,
교대,E(2호선 5번),E,2호선-L,×,02-6110 - 3401,
남부터미널,E(5번),E,,×,02-6110 - 3411,
양재,E(4번),E,,×,02-6110 - 3421,
매봉,"E(1,2번)",E,,×,02-6110 - 3431,
도곡,E(3번),E,분당선-E,?,02-6110-3441,
대치,E(7번),E,,?,02-6110-3451,
학여울,E(1번),E,,×,02-6110 - 3461,
대청,E(8번),E,,?,02-6110-3471,
일원,E(6번),E,,?,02-6110-3481,
수서,"E (1,3번)",E,분당선-L,×,02-6110 - 3491,
가락시장,"E(7번,1,2번사이,3,4번사이)",E,8호선-E,x,02-6110-3500,
경찰병원,"E(1,2번/3,4번사이)",E,,x,02-6110-3510,
오금,"E(1번,5번)",E,5호선-E,x,02-6110-3520,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
