역명,외부↔대합실,대합실↔승강장,환승통로,이동식 안전발판,역무실 연락처
장암,E(출구하나),E,,×,02-6311-7091
도봉산,평지(지상역),E,1호선-L,?,02-6311-7101
수락산,E(1번),L,,×,02-6311-7111
마들,E(5번),E,,×,02-6311-7121
노원,E(3번),E,4호선-외부환승,?,02-6311-7131
중계,"E(4,5번)",E,,×,02-6311-7141
하계,"E(1,6번)",E,,×,02-6311-7151
공릉,E(2번),E,,?,02-6311-7161
태릉입구,E(2번),E,6호선-E,?,02-6311-7171
먹골,E(2번),E,,×,02-6311-7181
중화,"E(3,4번사이)",E,,?,02-6311-7191
상봉,"E(2,3번사이)",E,,?,02-6311-7201
면목,E(3번),E,,×,02-6311-7211
사가정,E(3번),E,,×,02-6311-7221
용마산,E(1번),E,,?,02-6311-7231
중곡,E(1번),E,,×,02-6311-7241
군자,"E(4,7번)",E,5호선-E,×,02-6311-5441
어린이대공원,E(1번),E,,×,02-6311-7261
건대입구,L(3번),L,2호선-L,×,02-6311-7271
뚝섬유원지,E(1번),E,,×,02-6311-7281
청담,"E(5,10번)",L,,×,02-6311-7291
강남구청,없음,E,,×,02-6311-7301
학동,E(3번),E,,×,02-6311-7311
논현,"E(7,8번사이)",E,,×,02-6311-7321
반포,"E(1,6번)",E,,×,02-6311-7331
고속터미널,"E(9호선1,8-1번)",E,3호선-L9호선-L,?,02-6311-7341
내방,"E(3,4번사이)",E,,×,02-6311-7351
이수 (총신대입구),E(10번),E,4호선-L,×,02-6311-7361
남성,E(3번),E,,?,02-6311-7371
숭실대입구,E(2번),E,,×,02-6311-7381
상도,E(5번),E,,×,02-6311-7391
장승배기,E(2번),E,,×,02-6311-7401
신대방삼거리,E(3번),E,,×,02-6311-7411
보라매,E(6번),E,,×,02-6311-7421
신풍,E(4번),E,,×,02-6311-7431
대림,"E(9,10번)",E,2호선-외부환승E,×,02-6311-7441
남구로,"L(1,4번)",L,,×,02-6311-7451
가산디지털단지,E(6번),E,"1호선-L,외부환승E",×,02-6311-7461
철산,E(1번),E,,?,02-6311-7471
광명사거리,"E(2,3번)",하행-E 상행-L,,×,02-6311-7481
천왕,E(2번),E,,?,02-6311-7491
온수,E(2번),E,"1호선-L,외부환승E",×,02-6311-7501
