역명,외부↔대합실,대합실↔승강장,환승통로,이동식안전발판,역무실 연락처
암사,E(3번),E,,×,02-6311-8101
천호,E(6번),E,5호선-E,×,02-6311-5471
강동구청,E(4번),E,,×,02-6311-8121
몽촌토성,E(4번),E,,?,02-6311-8131
잠실,E(9번),E,2호선-E,×,02-6311-8141
석촌,"E(1,2번)",E,,×,02-6311-8151
송파,"E(1,2번)",E,,×,02-6311-8161
가락시장,"E(3,4번사이)",E,3호선-E,×,02-6311-8171
문정,"E(1,2번)",E,,×,02-6311-8181
장지,E(1번),E,,×,02-6311-8191
복정,L(4번),E,분당선-E,×,02-6311-8201
산성,E(3번),E,,?,02-6311-8211
남한산성입구,L(4번),E,,×,02-6311-8221
단대오거리,E(4번),E,,?,02-6311-8231
신흥,*없음,E,,×,02-6311-8241
수진,L(3번),E,,×,02-6311-8251
모란,E(11번),E,분당선-L,×,02-6311-8261
